instance_id,seed,best_objective,runtime,algorithm_name,deadline,param_max_evaluations,param_seed,param_population_size,param_crossover_rate,param_mutation_rate,param_time_limit,param_selection_strategy,param_crossover_strategy,param_mutation_strategy,param_initialization_strategy,param_tournament_size,param_use_repair,param_elitism,param_alpha,param_feasible_lower_rate,param_feasible_upper_rate,param_local_search_strategy,param_local_search_interval,param_neighborhood_size,param_use_sa_acceptance,param_sa_initial_temp,param_sa_cooling_rate,param_max_iterations,param_elite_size,param_path_strategy,param_use_local_search,param_local_search_eval_limit,param_w,param_c1,param_c2,param_restart_strategy,param_restart_threshold,param_sa_final_temp,rpd
J30_6.RCP,1,74.5803324099723,0.08660674095153809,PR_forward_best_noLS,38,1000,1,,,,60.0,best,,,,,,,,,,,,,,,,100.0,10.0,forward,False,50.0,,,,,,,23.97145159433639
J30_6.RCP,0,62.94875346260388,0.45256614685058594,PSO_none_none,38,1000,0,50.0,,,60.0,,,,,,,,,,,none,,,,80.0,0.9,,,,,,0.729,1.49445,1.49445,none,30.0,0.01,4.6368136295614395
J30_6.RCP,1,60.15927977839334,0.4536287784576416,PSO_none_none,38,1000,1,50.0,,,60.0,,,,,,,,,,,none,,,,80.0,0.9,,,,,,0.729,1.49445,1.49445,none,30.0,0.01,0.0
J30_7.RCP,0,53.92527777777778,0.37705397605895996,GA_roulette_single_point_random_random_none_noNeighborhood_noElitism_noSA,60,1000,0,50.0,0.9,0.1,60.0,roulette,single_point,random,random,3.0,True,False,0.5,0.1,0.35,none,5.0,0.0,False,10.0,0.95,,,,,,,,,,,,0.6219840253769393
J30_7.RCP,1,55.72527777777779,0.3788180351257324,GA_roulette_single_point_random_random_none_noNeighborhood_noElitism_noSA,60,1000,1,50.0,0.9,0.1,60.0,roulette,single_point,random,random,3.0,True,False,0.5,0.1,0.35,none,5.0,0.0,False,10.0,0.95,,,,,,,,,,,,3.980697762412481
J30_7.RCP,0,58.19194444444445,0.0863637924194336,PR_forward_best_noLS,60,1000,0,,,,60.0,best,,,,,,,,,,,,,,,,100.0,10.0,forward,False,50.0,,,,,,,8.583379550201888
J30_7.RCP,1,66.72527777777778,0.08861517906188965,PR_forward_best_noLS,60,1000,1,,,,60.0,best,,,,,,,,,,,,,,,,100.0,10.0,forward,False,50.0,,,,,,,24.506170599851743
J30_7.RCP,0,53.59194444444445,0.4537649154663086,PSO_none_none,60,1000,0,50.0,,,60.0,,,,,,,,,,,none,,,,80.0,0.9,,,,,,0.729,1.49445,1.49445,none,30.0,0.01,0.0
J30_7.RCP,1,54.05861111111111,0.4508512020111084,PSO_none_none,60,1000,1,50.0,,,60.0,,,,,,,,,,,none,,,,80.0,0.9,,,,,,0.729,1.49445,1.49445,none,30.0,0.01,0.8707776355277178
J30_8.RCP,0,77.20256318974724,0.36380791664123535,GA_roulette_single_point_random_random_none_noNeighborhood_noElitism_noSA,53,1000,0,50.0,0.9,0.1,60.0,roulette,single_point,random,random,3.0,True,False,0.5,0.1,0.35,none,5.0,0.0,False,10.0,0.95,,,,,,,,,,,,28.681627760701602
J30_8.RCP,1,71.7686009255963,0.3610198497772217,GA_roulette_single_point_random_random_none_noNeighborhood_noElitism_noSA,53,1000,1,50.0,0.9,0.1,60.0,roulette,single_point,random,random,3.0,True,False,0.5,0.1,0.35,none,5.0,0.0,False,10.0,0.95,,,,,,,,,,,,19.62427162574321
J30_8.RCP,0,90.14595941616234,0.09666609764099121,PR_forward_best_noLS,53,1000,0,,,,60.0,best,,,,,,,,,,,,,,,,100.0,10.0,forward,False,50.0,,,,,,,50.25574688772059
J30_8.RCP,1,71.7686009255963,0.0906219482421875,PR_forward_best_noLS,53,1000,1,,,,60.0,best,,,,,,,,,,,,,,,,100.0,10.0,forward,False,50.0,,,,,,,19.62427162574321
J30_8.RCP,0,59.995016019935925,0.45233893394470215,PSO_none_none,53,1000,0,50.0,,,60.0,,,,,,,,,,,none,,,,80.0,0.9,,,,,,0.729,1.49445,1.49445,none,30.0,0.01,0.0
J30_8.RCP,1,64.33463866144535,0.45953893661499023,PSO_none_none,53,1000,1,50.0,,,60.0,,,,,,,,,,,none,,,,80.0,0.9,,,,,,0.729,1.49445,1.49445,none,30.0,0.01,7.23330524666816
J30_9.RCP,0,108.3452380952381,0.3973557949066162,GA_roulette_single_point_random_random_none_noNeighborhood_noElitism_noSA,42,1000,0,50.0,0.9,0.1,60.0,roulette,single_point,random,random,3.0,True,False,0.5,0.1,0.35,none,5.0,0.0,False,10.0,0.95,,,,,,,,,,,,27.020237264480112
J30_9.RCP,1,101.25,0.4383549690246582,GA_roulette_single_point_random_random_none_noNeighborhood_noElitism_noSA,42,1000,1,50.0,0.9,0.1,60.0,roulette,single_point,random,random,3.0,True,False,0.5,0.1,0.35,none,5.0,0.0,False,10.0,0.95,,,,,,,,,,,,18.702023726448004
J30_9.RCP,0,109.48809523809524,0.14036035537719727,PR_forward_best_noLS,42,1000,0,,,,60.0,best,,,,,,,,,,,,,,,,100.0,10.0,forward,False,50.0,,,,,,,28.360083740404747
J30_9.RCP,1,138.96428571428572,0.09780287742614746,PR_forward_best_noLS,42,1000,1,,,,60.0,best,,,,,,,,,,,,,,,,100.0,10.0,forward,False,50.0,,,,,,,62.91695743196093
J30_9.RCP,0,92.29761904761902,0.4770963191986084,PSO_none_none,42,1000,0,50.0,,,60.0,,,,,,,,,,,none,,,,80.0,0.9,,,,,,0.729,1.49445,1.49445,none,30.0,0.01,8.206559665038347
J30_9.RCP,1,85.29761904761905,0.513408899307251,PSO_none_none,42,1000,1,50.0,,,60.0,,,,,,,,,,,none,,,,80.0,0.9,,,,,,0.729,1.49445,1.49445,none,30.0,0.01,0.0
J30_10.RCP,0,82.16508400292183,0.3987419605255127,GA_roulette_single_point_random_random_none_noNeighborhood_noElitism_noSA,37,1000,0,50.0,0.9,0.1,60.0,roulette,single_point,random,random,3.0,True,False,0.5,0.1,0.35,none,5.0,0.0,False,10.0,0.95,,,,,,,,,,,,11.518251938215034
J30_10.RCP,1,80.75967859751643,0.3816230297088623,GA_roulette_single_point_random_random_none_noNeighborhood_noElitism_noSA,37,1000,1,50.0,0.9,0.1,60.0,roulette,single_point,random,random,3.0,True,False,0.5,0.1,0.35,none,5.0,0.0,False,10.0,0.95,,,,,,,,,,,,9.610770725517002
J30_10.RCP,0,78.81373265157049,0.08192896842956543,PR_forward_best_noLS,37,1000,0,,,,60.0,best,,,,,,,,,,,,,,,,100.0,10.0,forward,False,50.0,,,,,,,6.969642892550505
J30_10.RCP,1,80.97589481373265,0.08345890045166016,PR_forward_best_noLS,37,1000,1,,,,60.0,best,,,,,,,,,,,,,,,,100.0,10.0,forward,False,50.0,,,,,,,9.904229373624403
J30_10.RCP,0,73.67859751643536,0.4602081775665283,PSO_none_none,37,1000,0,50.0,,,60.0,,,,,,,,,,,none,,,,80.0,0.9,,,,,,0.729,1.49445,1.49445,none,30.0,0.01,0.0
J30_10.RCP,1,73.78670562454347,0.4620330333709717,PSO_none_none,37,1000,1,50.0,,,60.0,,,,,,,,,,,none,,,,80.0,0.9,,,,,,0.729,1.49445,1.49445,none,30.0,0.01,0.1467293240537007
