instance_id,seed,best_objective,runtime,algorithm_name,deadline,param_max_evaluations,param_seed,param_population_size,param_time_limit,param_max_iterations,param_F,param_CR,param_use_adaptive_F,param_use_adaptive_CR,param_mutation_strategy,param_crossover_strategy,param_initialization_strategy,param_use_local_search,param_local_search_top,param_F_min,param_F_max,param_CR_min,param_CR_max,param_K0,param_tabu_tenure,param_neighborhood_size,param_aspiration_criterion,param_tabu_strategy,param_min_factor,param_max_factor,param_noimprove_threshold,param_f_min,param_f_max,param_A0,param_r0,param_alpha,param_gamma,param_local_search_strategy,param_local_search_interval,param_hm_size,param_hmcr,param_par,param_bw,param_par_min,param_par_max,param_bw_min,param_bw_max,param_parameter_strategy,rpd
J30_5.RCP,0,68.89281997918833,0.2977869510650635,DE_rand/1_fixedF_bin_fixedCR_noLS,31,1000,0,50.0,60.0,100.0,0.1,0.9,False,False,rand/1,bin,random,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,32.18464241504607
J30_5.RCP,1,66.89281997918835,0.29686498641967773,DE_rand/1_fixedF_bin_fixedCR_noLS,31,1000,1,50.0,60.0,100.0,0.1,0.9,False,False,rand/1,bin,random,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,28.34724274248291
J30_5.RCP,0,53.40894901144642,0.22226214408874512,TS_static,31,1000,0,,60.0,100.0,,,,,,,,,,,,,,,10.0,20.0,True,static,1.0,4.0,10.0,,,,,,,,,,,,,,,,,,2.475741724234314
J30_5.RCP,1,52.11862643080126,0.22086095809936523,TS_static,31,1000,1,,60.0,100.0,,,,,,,,,,,,,,,10.0,20.0,True,static,1.0,4.0,10.0,,,,,,,,,,,,,,,,,,0.0
J30_5.RCP,0,72.7637877211238,0.3775029182434082,BA_none,31,1000,0,50.0,60.0,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,none,10.0,,,,,,,,,,39.611867587749
J30_5.RCP,1,54.5057232049948,0.37096118927001953,BA_none,31,1000,1,50.0,60.0,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,none,10.0,,,,,,,,,,4.580122189833478
J30_5.RCP,0,57.021852237252865,0.39072322845458984,HS_fixed_random,31,1000,0,,60.0,,,,,,,,random,,,,,,,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,9.407818552090395
J30_5.RCP,1,58.69927159209157,0.3965871334075928,HS_fixed_random,31,1000,1,,60.0,,,,,,,,random,,,,,,,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,12.626282793594998
J30_6.RCP,0,61.84349030470914,0.2980821132659912,DE_rand/1_fixedF_bin_fixedCR_noLS,38,1000,0,50.0,60.0,100.0,0.1,0.9,False,False,rand/1,bin,random,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,3.2512429182564673
J30_6.RCP,1,62.264542936288095,0.2997112274169922,DE_rand/1_fixedF_bin_fixedCR_noLS,38,1000,1,50.0,60.0,100.0,0.1,0.9,False,False,rand/1,bin,random,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,3.9542143600416533
J30_6.RCP,0,59.8961218836565,0.22682905197143555,TS_static,38,1000,0,,60.0,100.0,,,,,,,,,,,,,,,10.0,20.0,True,static,1.0,4.0,10.0,,,,,,,,,,,,,,,,,,0.0
J30_6.RCP,1,61.52770083102494,0.21562480926513672,TS_static,38,1000,1,,60.0,100.0,,,,,,,,,,,,,,,10.0,20.0,True,static,1.0,4.0,10.0,,,,,,,,,,,,,,,,,,2.724014336917593
J30_6.RCP,0,63.89612188365651,0.3765439987182617,BA_none,38,1000,0,50.0,60.0,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,none,10.0,,,,,,,,,,6.678228696959211
J30_6.RCP,1,66.00138504155125,0.3794419765472412,BA_none,38,1000,1,50.0,60.0,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,none,10.0,,,,,,,,,,10.193085905885093
J30_6.RCP,0,60.159279778393355,0.3907039165496826,HS_fixed_random,38,1000,0,,60.0,,,,,,,,random,,,,,,,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,0.4393571511157604
J30_6.RCP,1,60.68559556786704,0.3931889533996582,HS_fixed_random,38,1000,1,,60.0,,,,,,,,random,,,,,,,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,1.3180714533472335
J30_7.RCP,0,54.95861111111112,0.3065030574798584,DE_rand/1_fixedF_bin_fixedCR_noLS,60,1000,0,50.0,60.0,100.0,0.1,0.9,False,False,rand/1,bin,random,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,6.114206949815256
J30_7.RCP,1,53.458611111111125,0.29756903648376465,DE_rand/1_fixedF_bin_fixedCR_noLS,60,1000,1,50.0,60.0,100.0,0.1,0.9,False,False,rand/1,bin,random,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,3.218003657797528
J30_7.RCP,0,51.79194444444445,0.22187089920043945,TS_static,60,1000,0,,60.0,100.0,,,,,,,,,,,,,,,10.0,20.0,True,static,1.0,4.0,10.0,,,,,,,,,,,,,,,,,,1.3719174736184632e-14
J30_7.RCP,1,51.79194444444444,0.22002601623535156,TS_static,60,1000,1,,60.0,100.0,,,,,,,,,,,,,,,10.0,20.0,True,static,1.0,4.0,10.0,,,,,,,,,,,,,,,,,,0.0
J30_7.RCP,0,52.69194444444445,0.38753318786621094,BA_none,60,1000,0,50.0,60.0,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,none,10.0,,,,,,,,,,1.7377219752106698
J30_7.RCP,1,52.69194444444445,0.37601709365844727,BA_none,60,1000,1,50.0,60.0,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,none,10.0,,,,,,,,,,1.7377219752106698
J30_7.RCP,0,51.82527777777779,0.3927140235900879,HS_fixed_random,60,1000,0,,60.0,,,,,,,,random,,,,,,,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,0.06436007315598732
J30_7.RCP,1,52.258611111111115,0.3902580738067627,HS_fixed_random,60,1000,1,,60.0,,,,,,,,random,,,,,,,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,0.9010410241833149
J30_8.RCP,0,73.91954432182271,0.2995171546936035,DE_rand/1_fixedF_bin_fixedCR_noLS,53,1000,0,50.0,60.0,100.0,0.1,0.9,False,False,rand/1,bin,random,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,29.566074704538924
J30_8.RCP,1,73.01388394446423,0.29724693298339844,DE_rand/1_fixedF_bin_fixedCR_noLS,53,1000,1,50.0,60.0,100.0,0.1,0.9,False,False,rand/1,bin,random,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,27.978634451946238
J30_8.RCP,0,57.05161979352083,0.21852993965148926,TS_static,53,1000,0,,60.0,100.0,,,,,,,,,,,,,,,10.0,20.0,True,static,1.0,4.0,10.0,,,,,,,,,,,,,,,,,,0.0
J30_8.RCP,1,66.03275186899252,0.21946287155151367,TS_static,53,1000,1,,60.0,100.0,,,,,,,,,,,,,,,10.0,20.0,True,static,1.0,4.0,10.0,,,,,,,,,,,,,,,,,,15.742115838210873
J30_8.RCP,0,63.69312922748309,0.3741021156311035,BA_none,53,1000,0,50.0,60.0,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,none,10.0,,,,,,,,,,11.641228519013088
J30_8.RCP,1,61.65539337842649,0.3757638931274414,BA_none,53,1000,1,50.0,60.0,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,none,10.0,,,,,,,,,,8.069487950679529
J30_8.RCP,0,63.46671413314347,0.3900630474090576,HS_fixed_random,53,1000,0,,60.0,,,,,,,,random,,,,,,,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,11.244368455864917
J30_8.RCP,1,67.7308650765397,0.3905949592590332,HS_fixed_random,53,1000,1,,60.0,,,,,,,,random,,,,,,,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,18.718566311822194
J30_9.RCP,0,89.05952380952381,0.3034501075744629,DE_rand/1_fixedF_bin_fixedCR_noLS,42,1000,0,50.0,60.0,100.0,0.1,0.9,False,False,rand/1,bin,random,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,9.740354994865786
J30_9.RCP,1,100.91666666666667,0.297374963760376,DE_rand/1_fixedF_bin_fixedCR_noLS,42,1000,1,50.0,60.0,100.0,0.1,0.9,False,False,rand/1,bin,random,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,24.350887487164457
J30_9.RCP,0,85.96428571428571,0.23917222023010254,TS_static,42,1000,0,,60.0,100.0,,,,,,,,,,,,,,,10.0,20.0,True,static,1.0,4.0,10.0,,,,,,,,,,,,,,,,,,5.926360569165324
