instance_id,seed,best_objective,runtime,algorithm_name,deadline,param_max_evaluations,param_seed,param_population_size,param_time_limit,param_max_iterations,param_F,param_CR,param_use_adaptive_F,param_use_adaptive_CR,param_mutation_strategy,param_crossover_strategy,param_initialization_strategy,param_use_local_search,param_local_search_top,param_F_min,param_F_max,param_CR_min,param_CR_max,param_K0,param_crossover_rate,param_mutation_rate,param_selection_strategy,param_tournament_size,param_use_repair,param_elitism,param_alpha,param_feasible_lower_rate,param_feasible_upper_rate,param_local_search_interval,param_neighborhood_size,param_initial_temperature,param_cooling_rate,param_iterations_per_temperature,param_perturbation_strength,param_tabu_tenure,param_aspiration_criterion,param_tabu_strategy,param_min_factor,param_max_factor,param_noimprove_threshold,param_elite_size,param_path_strategy,param_local_search_eval_limit,param_G0
J30_1.RCP,0,76.72368421052632,0.14146113395690918,DE_rand/2_adaptiveF_bin_fixedCR_withLS,38,1000,0,50.0,60.0,100.0,0.1,0.9,True,False,rand/2,bin,random,True,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
J30_1.RCP,1,75.72368421052632,0.1413559913635254,DE_rand/2_adaptiveF_bin_fixedCR_withLS,38,1000,1,50.0,60.0,100.0,0.1,0.9,True,False,rand/2,bin,random,True,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
J30_1.RCP,0,76.19736842105263,0.13964009284973145,DE_rand/2_adaptiveF_bin_fixedCR_noLS,38,1000,0,50.0,60.0,100.0,0.1,0.9,True,False,rand/2,bin,random,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
J30_1.RCP,1,74.19736842105263,0.13915181159973145,DE_rand/2_adaptiveF_bin_fixedCR_noLS,38,1000,1,50.0,60.0,100.0,0.1,0.9,True,False,rand/2,bin,random,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
J30_1.RCP,0,77.0921052631579,0.14450311660766602,DE_rand/2_adaptiveF_exp_adaptiveCR_withLS,38,1000,0,50.0,60.0,100.0,0.1,0.9,True,True,rand/2,exp,random,True,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
J30_1.RCP,1,82.67105263157895,0.14403915405273438,DE_rand/2_adaptiveF_exp_adaptiveCR_withLS,38,1000,1,50.0,60.0,100.0,0.1,0.9,True,True,rand/2,exp,random,True,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
J30_1.RCP,0,75.9342105263158,0.14203906059265137,DE_rand/2_adaptiveF_exp_adaptiveCR_noLS,38,1000,0,50.0,60.0,100.0,0.1,0.9,True,True,rand/2,exp,random,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
J30_1.RCP,1,78.61842105263158,0.14137005805969238,DE_rand/2_adaptiveF_exp_adaptiveCR_noLS,38,1000,1,50.0,60.0,100.0,0.1,0.9,True,True,rand/2,exp,random,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
J30_1.RCP,0,75.30263157894737,0.14635276794433594,DE_rand/2_adaptiveF_exp_fixedCR_withLS,38,1000,0,50.0,60.0,100.0,0.1,0.9,True,False,rand/2,exp,random,True,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
J30_1.RCP,1,77.9342105263158,0.14431118965148926,DE_rand/2_adaptiveF_exp_fixedCR_withLS,38,1000,1,50.0,60.0,100.0,0.1,0.9,True,False,rand/2,exp,random,True,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
J30_1.RCP,0,74.5657894736842,0.15222501754760742,DE_rand/2_adaptiveF_exp_fixedCR_noLS,38,1000,0,50.0,60.0,100.0,0.1,0.9,True,False,rand/2,exp,random,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
J30_1.RCP,1,74.19736842105263,0.14261889457702637,DE_rand/2_adaptiveF_exp_fixedCR_noLS,38,1000,1,50.0,60.0,100.0,0.1,0.9,True,False,rand/2,exp,random,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
J30_1.RCP,0,81.98684210526316,0.14925193786621094,DE_rand/2_fixedF_bin_adaptiveCR_withLS,38,1000,0,50.0,60.0,100.0,0.1,0.9,False,True,rand/2,bin,random,True,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
J30_1.RCP,1,80.5657894736842,0.14860081672668457,DE_rand/2_fixedF_bin_adaptiveCR_withLS,38,1000,1,50.0,60.0,100.0,0.1,0.9,False,True,rand/2,bin,random,True,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
J30_1.RCP,0,80.82894736842107,0.1443929672241211,DE_rand/2_fixedF_bin_adaptiveCR_noLS,38,1000,0,50.0,60.0,100.0,0.1,0.9,False,True,rand/2,bin,random,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
J30_1.RCP,1,80.72368421052632,0.14456892013549805,DE_rand/2_fixedF_bin_adaptiveCR_noLS,38,1000,1,50.0,60.0,100.0,0.1,0.9,False,True,rand/2,bin,random,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
J30_1.RCP,0,76.72368421052632,0.14623212814331055,DE_rand/2_fixedF_bin_fixedCR_withLS,38,1000,0,50.0,60.0,100.0,0.1,0.9,False,False,rand/2,bin,random,True,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
J30_1.RCP,1,80.30263157894737,0.14547204971313477,DE_rand/2_fixedF_bin_fixedCR_withLS,38,1000,1,50.0,60.0,100.0,0.1,0.9,False,False,rand/2,bin,random,True,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
J30_1.RCP,0,79.9342105263158,0.1411147117614746,DE_rand/2_fixedF_bin_fixedCR_noLS,38,1000,0,50.0,60.0,100.0,0.1,0.9,False,False,rand/2,bin,random,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
J30_1.RCP,1,77.46052631578948,0.1450328826904297,DE_rand/2_fixedF_bin_fixedCR_noLS,38,1000,1,50.0,60.0,100.0,0.1,0.9,False,False,rand/2,bin,random,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
J30_1.RCP,0,77.35526315789474,0.15113615989685059,DE_rand/2_fixedF_exp_adaptiveCR_withLS,38,1000,0,50.0,60.0,100.0,0.1,0.9,False,True,rand/2,exp,random,True,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
J30_1.RCP,1,83.67105263157895,0.15146589279174805,DE_rand/2_fixedF_exp_adaptiveCR_withLS,38,1000,1,50.0,60.0,100.0,0.1,0.9,False,True,rand/2,exp,random,True,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
J30_1.RCP,0,80.09210526315789,0.15710210800170898,DE_rand/2_fixedF_exp_adaptiveCR_noLS,38,1000,0,50.0,60.0,100.0,0.1,0.9,False,True,rand/2,exp,random,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
J30_1.RCP,1,82.72368421052632,0.1492140293121338,DE_rand/2_fixedF_exp_adaptiveCR_noLS,38,1000,1,50.0,60.0,100.0,0.1,0.9,False,True,rand/2,exp,random,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
