instance_id,seed,best_objective,runtime,algorithm_name,deadline,param_max_evaluations,param_seed,param_population_size,param_time_limit,param_max_iterations,param_F,param_CR,param_use_adaptive_F,param_use_adaptive_CR,param_mutation_strategy,param_crossover_strategy,param_initialization_strategy,param_use_local_search,param_local_search_top,param_F_min,param_F_max,param_CR_min,param_CR_max,param_K0,param_elite_size,param_path_strategy,param_selection_strategy,param_local_search_eval_limit,param_hm_size,param_hmcr,param_par,param_bw,param_par_min,param_par_max,param_bw_min,param_bw_max,param_parameter_strategy,rpd
J30_6.RCP,0,60.159279778393355,0.4337320327758789,HS_fixed_random,38,1000,0,,60.0,,,,,,,,random,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,0.0
J30_6.RCP,1,60.68559556786704,0.4079580307006836,HS_fixed_random,38,1000,1,,60.0,,,,,,,,random,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,0.8748704961436642
J30_7.RCP,0,54.95861111111112,0.32094573974609375,DE_rand/1_fixedF_bin_fixedCR_noLS,60,1000,0,50.0,60.0,100.0,0.1,0.9,False,False,rand/1,bin,random,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,6.045955695150891
J30_7.RCP,1,53.458611111111125,0.3134157657623291,DE_rand/1_fixedF_bin_fixedCR_noLS,60,1000,1,50.0,60.0,100.0,0.1,0.9,False,False,rand/1,bin,random,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,3.1516152027914286
J30_7.RCP,0,58.19194444444445,0.09092593193054199,PR_forward_best_noLS,60,1000,0,,60.0,100.0,,,,,,,,False,,,,,,,10.0,forward,best,50.0,,,,,,,,,,12.284867423125764
J30_7.RCP,1,66.72527777777778,0.09809088706970215,PR_forward_best_noLS,60,1000,1,,60.0,100.0,,,,,,,,False,,,,,,,10.0,forward,best,50.0,,,,,,,,,,28.75044889077077
J30_7.RCP,0,51.82527777777779,0.43165087699890137,HS_fixed_random,60,1000,0,,60.0,,,,,,,,random,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,0.0
J30_7.RCP,1,52.258611111111115,0.4170958995819092,HS_fixed_random,60,1000,1,,60.0,,,,,,,,random,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,0.8361428089038286
J30_8.RCP,0,73.91954432182271,0.3194763660430908,DE_rand/1_fixedF_bin_fixedCR_noLS,53,1000,0,50.0,60.0,100.0,0.1,0.9,False,False,rand/1,bin,random,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,16.469783147668245
J30_8.RCP,1,73.01388394446423,0.3219912052154541,DE_rand/1_fixedF_bin_fixedCR_noLS,53,1000,1,50.0,60.0,100.0,0.1,0.9,False,False,rand/1,bin,random,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,15.042798326209631
J30_8.RCP,0,90.14595941616234,0.10880112648010254,PR_forward_best_noLS,53,1000,0,,60.0,100.0,,,,,,,,False,,,,,,,10.0,forward,best,50.0,,,,,,,,,,42.036594532135204
J30_8.RCP,1,71.7686009255963,0.10048413276672363,PR_forward_best_noLS,53,1000,1,,60.0,100.0,,,,,,,,False,,,,,,,10.0,forward,best,50.0,,,,,,,,,,13.080694196704028
J30_8.RCP,0,63.46671413314347,0.41620397567749023,HS_fixed_random,53,1000,0,,60.0,,,,,,,,random,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,0.0
J30_8.RCP,1,67.7308650765397,0.41620683670043945,HS_fixed_random,53,1000,1,,60.0,,,,,,,,random,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,6.718720201034347
J30_9.RCP,0,89.05952380952381,0.3267538547515869,DE_rand/1_fixedF_bin_fixedCR_noLS,42,1000,0,50.0,60.0,100.0,0.1,0.9,False,False,rand/1,bin,random,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,5.7086336018086765
J30_9.RCP,1,100.91666666666667,0.3288919925689697,DE_rand/1_fixedF_bin_fixedCR_noLS,42,1000,1,50.0,60.0,100.0,0.1,0.9,False,False,rand/1,bin,random,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,19.782393669634033
J30_9.RCP,0,109.48809523809524,0.1441049575805664,PR_forward_best_noLS,42,1000,0,,60.0,100.0,,,,,,,,False,,,,,,,10.0,forward,best,50.0,,,,,,,,,,29.95619612830296
J30_9.RCP,1,138.96428571428572,0.09880590438842773,PR_forward_best_noLS,42,1000,1,,60.0,100.0,,,,,,,,False,,,,,,,10.0,forward,best,50.0,,,,,,,,,,64.94277236117
J30_9.RCP,0,84.25,0.4058969020843506,HS_fixed_random,42,1000,0,,60.0,,,,,,,,random,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,0.0
J30_9.RCP,1,84.53571428571429,0.4203987121582031,HS_fixed_random,42,1000,1,,60.0,,,,,,,,random,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,0.33912674862230485
J30_10.RCP,0,74.59751643535428,0.32790398597717285,DE_rand/1_fixedF_bin_fixedCR_noLS,37,1000,0,50.0,60.0,100.0,0.1,0.9,False,False,rand/1,bin,random,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,2.831480586434663
J30_10.RCP,1,77.5164353542732,0.32859110832214355,DE_rand/1_fixedF_bin_fixedCR_noLS,37,1000,1,50.0,60.0,100.0,0.1,0.9,False,False,rand/1,bin,random,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,6.855163525052353
J30_10.RCP,0,78.81373265157049,0.08190727233886719,PR_forward_best_noLS,37,1000,0,,60.0,100.0,,,,,,,,False,,,,,,,10.0,forward,best,50.0,,,,,,,,,,8.643467053326873
J30_10.RCP,1,80.97589481373265,0.09229016304016113,PR_forward_best_noLS,37,1000,1,,60.0,100.0,,,,,,,,False,,,,,,,10.0,forward,best,50.0,,,,,,,,,,11.623972933784419
J30_10.RCP,0,72.54346238130023,0.41599369049072266,HS_fixed_random,37,1000,0,,60.0,,,,,,,,random,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,0.0
J30_10.RCP,1,74.32724616508399,0.40924596786499023,HS_fixed_random,37,1000,1,,60.0,,,,,,,,random,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,2.4589173513774454
