instance_id,seed,best_objective,runtime,algorithm_name,deadline,param_max_evaluations,param_seed,param_time_limit,param_max_iterations,param_elite_size,param_path_strategy,param_selection_strategy,param_use_local_search,param_local_search_eval_limit
J60_1.RCP,1,126.81092933040985,0.23994898796081543,PR_forward_best_withLS,77,1000,1,60.0,100,10,forward,best,True,50
J60_1.RCP,0,132.6550851745657,0.09621191024780273,PR_forward_best_noLS,77,1000,0,60.0,100,10,forward,best,False,50
J60_1.RCP,1,118.23950075898128,0.0980079174041748,PR_forward_best_noLS,77,1000,1,60.0,100,10,forward,best,False,50
J60_1.RCP,0,134.2654747849553,0.24249601364135742,PR_forward_random_two_withLS,77,1000,0,60.0,100,10,forward,random_two,True,50
J60_1.RCP,1,120.70703322651374,0.2434220314025879,PR_forward_random_two_withLS,77,1000,1,60.0,100,10,forward,random_two,True,50
J60_1.RCP,0,123.97976049924101,0.05460786819458008,PR_forward_random_two_noLS,77,1000,0,60.0,100,10,forward,random_two,False,50
J60_1.RCP,1,128.26547478495527,0.05144381523132324,PR_forward_random_two_noLS,77,1000,1,60.0,100,10,forward,random_two,False,50
J60_1.RCP,0,159.953786473267,0.23657774925231934,PR_backward_best_withLS,77,1000,0,60.0,100,10,backward,best,True,50
J60_1.RCP,1,126.81092933040985,0.2417902946472168,PR_backward_best_withLS,77,1000,1,60.0,100,10,backward,best,True,50
J60_1.RCP,0,126.68105920053969,0.0995950698852539,PR_backward_best_noLS,77,1000,0,60.0,100,10,backward,best,False,50
J60_1.RCP,1,129.14859166807219,0.06792879104614258,PR_backward_best_noLS,77,1000,1,60.0,100,10,backward,best,False,50
J60_1.RCP,0,129.30443582391635,0.23918604850769043,PR_backward_random_two_withLS,77,1000,0,60.0,100,10,backward,random_two,True,50
J60_1.RCP,1,120.05768257716309,0.2403392791748047,PR_backward_random_two_withLS,77,1000,1,60.0,100,10,backward,random_two,True,50
J60_1.RCP,0,112.83690335638387,0.0522308349609375,PR_backward_random_two_noLS,77,1000,0,60.0,100,10,backward,random_two,False,50
J60_1.RCP,1,136.31742283690335,0.04719805717468262,PR_backward_random_two_noLS,77,1000,1,60.0,100,10,backward,random_two,False,50
J60_2.RCP,0,164.32946745562128,0.24057412147521973,PR_forward_best_withLS,65,1000,0,60.0,100,10,forward,best,True,50
J60_2.RCP,1,157.0986982248521,0.23976993560791016,PR_forward_best_withLS,65,1000,1,60.0,100,10,forward,best,True,50
J60_2.RCP,0,163.96023668639052,0.0686790943145752,PR_forward_best_noLS,65,1000,0,60.0,100,10,forward,best,False,50
J60_2.RCP,1,165.9294674556213,0.0750732421875,PR_forward_best_noLS,65,1000,1,60.0,100,10,forward,best,False,50
J60_2.RCP,0,152.14485207100594,0.24399185180664062,PR_forward_random_two_withLS,65,1000,0,60.0,100,10,forward,random_two,True,50
J60_2.RCP,1,146.42177514792903,0.23874592781066895,PR_forward_random_two_withLS,65,1000,1,60.0,100,10,forward,random_two,True,50
J60_2.RCP,0,147.19100591715977,0.05045318603515625,PR_forward_random_two_noLS,65,1000,0,60.0,100,10,forward,random_two,False,50
J60_2.RCP,1,150.85254437869824,0.05000185966491699,PR_forward_random_two_noLS,65,1000,1,60.0,100,10,forward,random_two,False,50
