instance_id,seed,best_objective,runtime,algorithm_name,deadline,param_max_evaluations,param_seed,param_time_limit
J30_26.RCP,1,51.26237095051621,0.13286781311035156,ga,53,1000,1,60.0
J30_26.RCP,0,52.50765396938412,0.10981178283691406,sa,53,1000,0,60.0
J30_26.RCP,1,53.488786044855814,0.1089780330657959,sa,53,1000,1,60.0
J30_26.RCP,0,48.50765396938413,0.1003580093383789,ils,53,1000,0,60.0
J30_26.RCP,1,55.375578497686,0.10181212425231934,ils,53,1000,1,60.0
J30_27.RCP,0,67.09505208333333,0.13266301155090332,ga,48,1000,0,60.0
J30_27.RCP,1,70.47005208333334,0.13242697715759277,ga,48,1000,1,60.0
J30_27.RCP,0,71.30338541666667,0.11104893684387207,sa,48,1000,0,60.0
J30_27.RCP,1,77.88671875000001,0.10856890678405762,sa,48,1000,1,60.0
J30_27.RCP,0,73.88671875,0.10089397430419922,ils,48,1000,0,60.0
J30_27.RCP,1,88.09505208333333,0.10110116004943848,ils,48,1000,1,60.0
J30_28.RCP,0,50.40637860082305,0.1329631805419922,ga,54,1000,0,60.0
J30_28.RCP,1,46.480452674897116,0.13242888450622559,ga,54,1000,1,60.0
J30_28.RCP,0,53.85082304526749,0.1103060245513916,sa,54,1000,0,60.0
J30_28.RCP,1,53.36934156378601,0.1131432056427002,sa,54,1000,1,60.0
J30_28.RCP,0,51.36934156378601,0.10407185554504395,ils,54,1000,0,60.0
J30_28.RCP,1,46.998971193415635,0.1048588752746582,ils,54,1000,1,60.0
J30_29.RCP,0,88.78166666666668,0.13406586647033691,ga,60,1000,0,60.0
J30_29.RCP,1,81.515,0.13363409042358398,ga,60,1000,1,60.0
J30_29.RCP,0,90.68166666666667,0.10884618759155273,sa,60,1000,0,60.0
J30_29.RCP,1,90.51500000000001,0.1084129810333252,sa,60,1000,1,60.0
J30_29.RCP,0,89.84833333333333,0.10093164443969727,ils,60,1000,0,60.0
J30_29.RCP,1,81.94833333333332,0.10364985466003418,ils,60,1000,1,60.0
J30_30.RCP,0,64.69744536780547,0.13362884521484375,ga,57,1000,0,60.0
J30_30.RCP,1,61.11849799938441,0.13387703895568848,ga,57,1000,1,60.0
J30_30.RCP,0,67.67990150815635,0.1114802360534668,sa,57,1000,0,60.0
J30_30.RCP,1,69.92551554324406,0.10931110382080078,sa,57,1000,1,60.0
J30_30.RCP,0,73.15358571868268,0.10073065757751465,ils,57,1000,0,60.0
J30_30.RCP,1,71.08341028008617,0.10136294364929199,ils,57,1000,1,60.0
J30_31.RCP,0,66.48396501457725,0.13251805305480957,ga,49,1000,0,60.0
J30_31.RCP,1,70.23906705539358,0.13257598876953125,ga,49,1000,1,60.0
J30_31.RCP,0,70.81049562682215,0.10866689682006836,sa,49,1000,0,60.0
J30_31.RCP,1,69.50437317784255,0.10924410820007324,sa,49,1000,1,60.0
J30_31.RCP,0,68.40233236151602,0.1012568473815918,ils,49,1000,0,60.0
J30_31.RCP,1,67.70845481049561,0.10214495658874512,ils,49,1000,1,60.0
J30_32.RCP,0,62.23166666666666,0.13353800773620605,ga,60,1000,0,60.0
J30_32.RCP,1,66.765,0.13326406478881836,ga,60,1000,1,60.0
J30_32.RCP,0,67.79833333333332,0.11063289642333984,sa,60,1000,0,60.0
J30_32.RCP,1,74.09833333333333,0.10973215103149414,sa,60,1000,1,60.0
J30_32.RCP,0,86.36500000000001,0.10223889350891113,ils,60,1000,0,60.0
J30_32.RCP,1,70.265,0.10133194923400879,ils,60,1000,1,60.0
J30_33.RCP,0,84.66364870982343,0.13306117057800293,ga,47,1000,0,60.0
J30_33.RCP,1,67.72747849705749,0.13464117050170898,ga,47,1000,1,60.0
J30_33.RCP,0,103.04662743322768,0.1110389232635498,sa,47,1000,0,60.0
J30_33.RCP,1,88.87641466727024,0.10939908027648926,sa,47,1000,1,60.0
J30_33.RCP,0,86.28066998641917,0.10148787498474121,ils,47,1000,0,60.0
J30_33.RCP,1,95.25939339067449,0.10064411163330078,ils,47,1000,1,60.0
J30_34.RCP,0,103.69959987688523,0.13393282890319824,ga,57,1000,0,60.0
J30_34.RCP,1,106.68205601723608,0.13309836387634277,ga,57,1000,1,60.0
J30_34.RCP,0,115.243459526008,0.10920190811157227,sa,57,1000,0,60.0
J30_34.RCP,1,112.4013542628501,0.10842204093933105,sa,57,1000,1,60.0
J30_34.RCP,0,98.6469682979378,0.10023880004882812,ils,57,1000,0,60.0
J30_34.RCP,1,105.06802092951675,0.10231709480285645,ils,57,1000,1,60.0
J30_35.RCP,0,69.82131571387532,0.13344597816467285,ga,59,1000,0,60.0
J30_35.RCP,1,67.92301062912956,0.13268113136291504,ga,59,1000,1,60.0
J30_35.RCP,0,80.32979029014652,0.10931992530822754,sa,59,1000,0,60.0
J30_35.RCP,1,81.88911232404483,0.10907196998596191,sa,59,1000,1,60.0
J30_35.RCP,0,79.95690893421431,0.10094094276428223,ils,59,1000,0,60.0
J30_35.RCP,1,62.83826486641771,0.10205817222595215,ils,59,1000,1,60.0
J30_36.RCP,0,97.1427160493827,0.13294577598571777,ga,45,1000,0,60.0
J30_36.RCP,1,101.67604938271607,0.13924193382263184,ga,45,1000,1,60.0
J30_36.RCP,0,123.09827160493829,0.11182785034179688,sa,45,1000,0,60.0
J30_36.RCP,1,104.65382716049382,0.11010932922363281,sa,45,1000,1,60.0
J30_36.RCP,0,91.80938271604937,0.10275626182556152,ils,45,1000,0,60.0
J30_36.RCP,1,88.38716049382717,0.1009218692779541,ils,45,1000,1,60.0
J30_37.RCP,0,66.13360969387755,0.13322091102600098,ga,56,1000,0,60.0
J30_37.RCP,1,66.91932397959184,0.13393092155456543,ga,56,1000,1,60.0
J30_37.RCP,0,70.63360969387756,0.10989499092102051,sa,56,1000,0,60.0
J30_37.RCP,1,69.81218112244899,0.11177921295166016,sa,56,1000,1,60.0
J30_37.RCP,0,71.06218112244899,0.1036221981048584,ils,56,1000,0,60.0
J30_37.RCP,1,62.95503826530613,0.10363507270812988,ils,56,1000,1,60.0
J30_38.RCP,0,59.2509090909091,0.13344717025756836,ga,55,1000,0,60.0
J30_38.RCP,1,60.66909090909091,0.1329967975616455,ga,55,1000,1,60.0
J30_38.RCP,0,63.06909090909091,0.11057305335998535,sa,55,1000,0,60.0
J30_38.RCP,1,63.39636363636364,0.10903191566467285,sa,55,1000,1,60.0
J30_38.RCP,0,64.45090909090911,0.10082697868347168,ils,55,1000,0,60.0
J30_38.RCP,1,67.6509090909091,0.10105490684509277,ils,55,1000,1,60.0
J30_39.RCP,0,109.90027700831024,0.1319878101348877,ga,38,1000,0,60.0
J30_39.RCP,1,107.8476454293629,0.1336829662322998,ga,38,1000,1,60.0
J30_39.RCP,0,107.58448753462604,0.11082911491394043,sa,38,1000,0,60.0
J30_39.RCP,1,111.58448753462604,0.1099238395690918,sa,38,1000,1,60.0
J30_39.RCP,0,109.6371191135734,0.10263895988464355,ils,38,1000,0,60.0
J30_39.RCP,1,110.53185595567867,0.10136890411376953,ils,38,1000,1,60.0
J30_40.RCP,0,74.31510416666667,0.13315916061401367,ga,48,1000,0,60.0
J30_40.RCP,1,69.48177083333333,0.13521790504455566,ga,48,1000,1,60.0
J30_40.RCP,0,75.0234375,0.11045694351196289,sa,48,1000,0,60.0
J30_40.RCP,1,76.7734375,0.10891437530517578,sa,48,1000,1,60.0
J30_40.RCP,0,84.2734375,0.10047411918640137,ils,48,1000,0,60.0
J30_40.RCP,1,66.35677083333333,0.10606122016906738,ils,48,1000,1,60.0
J30_41.RCP,0,119.2242712671029,0.13285303115844727,ga,41,1000,0,60.0
J30_41.RCP,1,121.76085663295657,0.13354277610778809,ga,41,1000,1,60.0
J30_41.RCP,0,124.15110053539557,0.11042475700378418,sa,41,1000,0,60.0
J30_41.RCP,1,140.5901249256395,0.1100618839263916,sa,41,1000,1,60.0
J30_41.RCP,0,101.37061273051755,0.10228300094604492,ils,41,1000,0,60.0
J30_41.RCP,1,102.10232004759071,0.10192584991455078,ils,41,1000,1,60.0
J30_42.RCP,0,150.21301020408163,0.1335906982421875,ga,56,1000,0,60.0
J30_42.RCP,1,144.10586734693877,0.13730216026306152,ga,56,1000,1,60.0
J30_42.RCP,0,161.03443877551018,0.1123189926147461,sa,56,1000,0,60.0
J30_42.RCP,1,155.46301020408166,0.11010098457336426,sa,56,1000,1,60.0
J30_42.RCP,0,140.10586734693877,0.10326981544494629,ils,56,1000,0,60.0
J30_42.RCP,1,171.5701530612245,0.10291886329650879,ils,56,1000,1,60.0
J30_43.RCP,0,97.5631001371742,0.1337430477142334,ga,54,1000,0,60.0
J30_43.RCP,1,113.15569272976681,0.13317608833312988,ga,54,1000,1,60.0
J30_43.RCP,0,118.34087791495197,0.10877680778503418,sa,54,1000,0,60.0
J30_43.RCP,1,123.22976680384087,0.10992789268493652,sa,54,1000,1,60.0
J30_43.RCP,0,115.8593964334705,0.09968304634094238,ils,54,1000,0,60.0
J30_43.RCP,1,103.82235939643346,0.10161685943603516,ils,54,1000,1,60.0
J30_44.RCP,0,144.20118983234178,0.13248419761657715,ga,43,1000,0,60.0
J30_44.RCP,1,143.27095727420226,0.1343858242034912,ga,43,1000,1,60.0
J30_44.RCP,0,165.59653866955108,0.11446404457092285,sa,43,1000,0,60.0
J30_44.RCP,1,185.64305029745807,0.11575675010681152,sa,43,1000,1,60.0
J30_44.RCP,0,107.73607355327202,0.10506701469421387,ils,43,1000,0,60.0
J30_44.RCP,1,125.08491076257437,0.1049199104309082,ils,43,1000,1,60.0
J30_45.RCP,0,126.724435196195,0.1329958438873291,ga,58,1000,0,60.0
J30_45.RCP,1,131.27615933412605,0.1329059600830078,ga,58,1000,1,60.0
J30_45.RCP,0,159.93133174791913,0.11117076873779297,sa,58,1000,0,60.0
J30_45.RCP,1,157.51753864447085,0.11057806015014648,sa,58,1000,1,60.0
J30_45.RCP,0,150.58650416171224,0.10125207901000977,ils,58,1000,0,60.0
J30_45.RCP,1,182.1037455410226,0.10253405570983887,ils,58,1000,1,60.0
J30_46.RCP,0,204.46989588048893,0.13380002975463867,ga,47,1000,0,60.0
J30_46.RCP,1,200.81032141240382,0.13358116149902344,ga,47,1000,1,60.0
J30_46.RCP,0,227.61883205070168,0.11162686347961426,sa,47,1000,0,60.0
J30_46.RCP,1,236.42734268899957,0.11106586456298828,sa,47,1000,1,60.0
J30_46.RCP,0,210.34223630602085,0.1010129451751709,ils,47,1000,0,60.0
J30_46.RCP,1,242.21457673155277,0.10242104530334473,ils,47,1000,1,60.0
J30_47.RCP,0,143.47755543537045,0.13252615928649902,ga,43,1000,0,60.0
J30_47.RCP,1,135.33802055164952,0.13281989097595215,ga,43,1000,1,60.0
J30_47.RCP,0,152.1752298539751,0.11094021797180176,sa,43,1000,0,60.0
J30_47.RCP,1,150.03569497025418,0.10854291915893555,sa,43,1000,1,60.0
J30_47.RCP,0,124.50081124932396,0.10050392150878906,ils,43,1000,0,60.0
J30_47.RCP,1,152.45429962141696,0.10170698165893555,ils,43,1000,1,60.0
J30_48.RCP,0,116.38447846208616,0.1331620216369629,ga,53,1000,0,60.0
J30_48.RCP,1,126.7618369526522,0.13348722457885742,ga,53,1000,1,60.0
J30_48.RCP,0,130.57315770736918,0.11136889457702637,sa,53,1000,0,60.0
J30_48.RCP,1,138.45995016019933,0.1102137565612793,sa,53,1000,1,60.0
J30_48.RCP,0,100.8373086507654,0.10107803344726562,ils,53,1000,0,60.0
J30_48.RCP,1,135.32787468850123,0.10181117057800293,ils,53,1000,1,60.0
J30_49.RCP,0,148.27631578947367,0.1327660083770752,ga,38,1000,0,60.0
J30_49.RCP,1,139.43421052631578,0.13359713554382324,ga,38,1000,1,60.0
J30_49.RCP,0,167.22368421052633,0.11061310768127441,sa,38,1000,0,60.0
