instance_id,seed,best_objective,runtime,algorithm_name,deadline,param_max_evaluations,param_seed,param_population_size,param_time_limit,param_max_iterations,param_F,param_CR,param_use_adaptive_F,param_use_adaptive_CR,param_mutation_strategy,param_crossover_strategy,param_initialization_strategy,param_use_local_search,param_local_search_top,param_F_min,param_F_max,param_CR_min,param_CR_max,param_K0,param_crossover_rate,param_mutation_rate,param_selection_strategy,param_tournament_size,param_use_repair,param_elitism,param_alpha,param_feasible_lower_rate,param_feasible_upper_rate,param_local_search_strategy,param_local_search_interval,param_neighborhood_size,param_use_sa_acceptance,param_sa_initial_temp,param_sa_cooling_rate,param_elite_size,param_path_strategy,param_local_search_eval_limit
J30_8.RCP,1,89.12709149163403,0.2755000591278076,PR_forward_best_withLS,53,1000,1,,60.0,100.0,,,,,,,,True,,,,,,,,,best,,,,,,,,,,,,,10.0,forward,50.0
J30_9.RCP,0,98.39285714285714,0.31557703018188477,DE_rand/1_fixedF_bin_adaptiveCR_withLS,42,1000,0,50.0,60.0,100.0,0.1,0.9,False,True,rand/1,bin,random,True,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,,,,,
J30_9.RCP,1,90.24999999999999,0.32131004333496094,DE_rand/1_fixedF_bin_adaptiveCR_withLS,42,1000,1,50.0,60.0,100.0,0.1,0.9,False,True,rand/1,bin,random,True,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,,,,,
J30_9.RCP,0,108.3452380952381,0.42310094833374023,GA_roulette_single_point_random_random_none_withNeighborhood_noSA,42,1000,0,50.0,60.0,,,,,,random,single_point,random,,,,,,,,0.9,0.1,roulette,3.0,True,False,0.5,0.1,0.35,none,5.0,2.0,False,10.0,0.95,,,
J30_9.RCP,1,101.25,0.4236569404602051,GA_roulette_single_point_random_random_none_withNeighborhood_noSA,42,1000,1,50.0,60.0,,,,,,random,single_point,random,,,,,,,,0.9,0.1,roulette,3.0,True,False,0.5,0.1,0.35,none,5.0,2.0,False,10.0,0.95,,,
J30_9.RCP,0,163.67857142857144,0.31251001358032227,PR_forward_best_withLS,42,1000,0,,60.0,100.0,,,,,,,,True,,,,,,,,,best,,,,,,,,,,,,,10.0,forward,50.0
J30_9.RCP,1,147.67857142857142,0.3071920871734619,PR_forward_best_withLS,42,1000,1,,60.0,100.0,,,,,,,,True,,,,,,,,,best,,,,,,,,,,,,,10.0,forward,50.0
J30_10.RCP,0,81.62454346238131,0.3095130920410156,DE_rand/1_fixedF_bin_adaptiveCR_withLS,37,1000,0,50.0,60.0,100.0,0.1,0.9,False,True,rand/1,bin,random,True,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,,,,,
J30_10.RCP,1,82.16508400292184,0.2999989986419678,DE_rand/1_fixedF_bin_adaptiveCR_withLS,37,1000,1,50.0,60.0,100.0,0.1,0.9,False,True,rand/1,bin,random,True,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,,,,,
J30_10.RCP,0,82.16508400292183,0.41006898880004883,GA_roulette_single_point_random_random_none_withNeighborhood_noSA,37,1000,0,50.0,60.0,,,,,,random,single_point,random,,,,,,,,0.9,0.1,roulette,3.0,True,False,0.5,0.1,0.35,none,5.0,2.0,False,10.0,0.95,,,
J30_10.RCP,1,80.75967859751643,0.41187596321105957,GA_roulette_single_point_random_random_none_withNeighborhood_noSA,37,1000,1,50.0,60.0,,,,,,random,single_point,random,,,,,,,,0.9,0.1,roulette,3.0,True,False,0.5,0.1,0.35,none,5.0,2.0,False,10.0,0.95,,,
J30_10.RCP,0,83.13805697589483,0.29558229446411133,PR_forward_best_withLS,37,1000,0,,60.0,100.0,,,,,,,,True,,,,,,,,,best,,,,,,,,,,,,,10.0,forward,50.0
J30_10.RCP,1,85.24616508400293,0.2796151638031006,PR_forward_best_withLS,37,1000,1,,60.0,100.0,,,,,,,,True,,,,,,,,,best,,,,,,,,,,,,,10.0,forward,50.0
