instance_id,seed,best_objective,runtime,algorithm_name,deadline,param_max_evaluations,param_seed,param_population_size,param_time_limit,param_max_iterations,param_F,param_CR,param_use_adaptive_F,param_use_adaptive_CR,param_mutation_strategy,param_crossover_strategy,param_initialization_strategy,param_use_local_search,param_local_search_top,param_F_min,param_F_max,param_CR_min,param_CR_max,param_K0,param_w,param_c1,param_c2,param_local_search_strategy,param_restart_strategy,param_restart_threshold,param_sa_initial_temp,param_sa_final_temp,param_sa_cooling_rate,param_f_min,param_f_max,param_A0,param_r0,param_alpha,param_gamma,param_local_search_interval,rpd
J30_9.RCP,0,93.24999999999999,0.5323569774627686,DE_current-to-rand/2_bin_fixedCR_noLS,42,1000,0,50,60.0,100.0,0.1,0.9,False,False,current-to-rand/2,bin,random,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,,,,9.323098394975554
J30_9.RCP,1,88.3452380952381,0.522968053817749,DE_current-to-rand/2_bin_fixedCR_noLS,42,1000,1,50,60.0,100.0,0.1,0.9,False,False,current-to-rand/2,bin,random,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,,,,3.5729239357990266
J30_9.RCP,0,92.29761904761902,0.8174886703491211,PSO_none_none,42,1000,0,50,60.0,,,,,,,,,,,,,,,,0.729,1.49445,1.49445,none,none,30.0,80.0,0.01,0.9,,,,,,,,8.206559665038347
J30_9.RCP,1,85.29761904761905,0.8137249946594238,PSO_none_none,42,1000,1,50,60.0,,,,,,,,,,,,,,,,0.729,1.49445,1.49445,none,none,30.0,80.0,0.01,0.9,,,,,,,,0.0
J30_9.RCP,0,86.25,0.6846280097961426,BA_none,42,1000,0,50,60.0,,,,,,,,,,,,,,,,,,,none,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,10.0,1.1165387299371907
J30_9.RCP,1,85.82142857142857,0.6960639953613281,BA_none,42,1000,1,50,60.0,,,,,,,,,,,,,,,,,,,none,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,10.0,0.6140963014654507
J30_10.RCP,0,74.27319211102996,0.5162570476531982,DE_current-to-rand/2_bin_fixedCR_noLS,37,1000,0,50,60.0,100.0,0.1,0.9,False,False,current-to-rand/2,bin,random,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,,,,4.01194787127399
J30_10.RCP,1,76.05697589481375,0.5211381912231445,DE_current-to-rand/2_bin_fixedCR_noLS,37,1000,1,50,60.0,100.0,0.1,0.9,False,False,current-to-rand/2,bin,random,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,,,,6.5099531496143905
J30_10.RCP,0,73.67859751643536,0.7902412414550781,PSO_none_none,37,1000,0,50,60.0,,,,,,,,,,,,,,,,0.729,1.49445,1.49445,none,none,30.0,80.0,0.01,0.9,,,,,,,,3.1792794451605237
J30_10.RCP,1,73.78670562454347,0.8121869564056396,PSO_none_none,37,1000,1,50,60.0,,,,,,,,,,,,,,,,0.729,1.49445,1.49445,none,none,30.0,80.0,0.01,0.9,,,,,,,,3.3306737044538868
J30_10.RCP,0,72.9218407596786,0.6794757843017578,BA_none,37,1000,0,50,60.0,,,,,,,,,,,,,,,,,,,none,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,10.0,2.1195196301070225
J30_10.RCP,1,71.40832724616507,0.7383177280426025,BA_none,37,1000,1,50,60.0,,,,,,,,,,,,,,,,,,,none,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,10.0,0.0
