instance_id,seed,best_objective,runtime,algorithm_name,param_max_evaluations,param_max_iterations,param_time_limit,param_seed,param_problem_type,param_population_size,param_n_generations,param_crossover_rate,param_mutation_rate,param_tournament_size,param_crossover,param_mutation,param_elitism,param_initial_temperature,param_cooling_rate,param_min_temperature,param_iterations_per_temperature,param_mutation_operator,param_perturbation_strength,param_local_search_operator,param_perturbation_operator,param_acceptance
J30_108.RCP,0,85.69570060147026,5.0473878383636475,ga,100000,1000,5.0,0,rlp,50.0,1000.0,0.8,0.1,3.0,ox1,swap,2.0,,,,,,,,,
J30_108.RCP,1,79.63599910893294,5.038194894790649,ga,100000,1000,5.0,1,rlp,50.0,1000.0,0.8,0.1,3.0,ox1,swap,2.0,,,,,,,,,
J30_108.RCP,0,85.69570060147026,5.000539064407349,sa,100000,1000,5.0,0,rlp,,,,,,,,,10000.0,0.995,1.0,100.0,swap,,,,
J30_108.RCP,1,85.69570060147026,5.0004401206970215,sa,100000,1000,5.0,1,rlp,,,,,,,,,10000.0,0.995,1.0,100.0,swap,,,,
J30_108.RCP,0,78.59122298952997,5.001389026641846,ils,100000,1000,5.0,0,rlp,,,,,,,,,,,,,,5.0,swap,swap,best
J30_108.RCP,1,81.39719313878369,5.000447988510132,ils,100000,1000,5.0,1,rlp,,,,,,,,,,,,,,5.0,swap,swap,best
J30_109.RCP,0,106.00168031926067,5.033900260925293,ga,100000,1000,5.0,0,rlp,50.0,1000.0,0.8,0.1,3.0,ox1,swap,2.0,,,,,,,,,
J30_109.RCP,1,106.00168031926067,5.020133018493652,ga,100000,1000,5.0,1,rlp,50.0,1000.0,0.8,0.1,3.0,ox1,swap,2.0,,,,,,,,,
J30_109.RCP,0,109.88573829027516,5.000468969345093,sa,100000,1000,5.0,0,rlp,,,,,,,,,10000.0,0.995,1.0,100.0,swap,,,,
J30_109.RCP,1,106.00168031926067,5.0008790493011475,sa,100000,1000,5.0,1,rlp,,,,,,,,,10000.0,0.995,1.0,100.0,swap,,,,
J30_109.RCP,0,106.00168031926067,5.000308990478516,ils,100000,1000,5.0,0,rlp,,,,,,,,,,,,,,5.0,swap,swap,best
J30_109.RCP,1,106.00168031926067,5.001880168914795,ils,100000,1000,5.0,1,rlp,,,,,,,,,,,,,,5.0,swap,swap,best
J30_11.RCP,0,54.82963988919668,5.034765720367432,ga,100000,1000,5.0,0,rlp,50.0,1000.0,0.8,0.1,3.0,ox1,swap,2.0,,,,,,,,,
J30_11.RCP,1,54.82963988919668,5.049083948135376,ga,100000,1000,5.0,1,rlp,50.0,1000.0,0.8,0.1,3.0,ox1,swap,2.0,,,,,,,,,
J30_11.RCP,0,54.82963988919668,5.000446081161499,sa,100000,1000,5.0,0,rlp,,,,,,,,,10000.0,0.995,1.0,100.0,swap,,,,
J30_11.RCP,1,54.82963988919668,5.000458002090454,sa,100000,1000,5.0,1,rlp,,,,,,,,,10000.0,0.995,1.0,100.0,swap,,,,
J30_11.RCP,0,54.82963988919668,5.000059127807617,ils,100000,1000,5.0,0,rlp,,,,,,,,,,,,,,5.0,swap,swap,best
J30_11.RCP,1,54.82963988919668,5.001309871673584,ils,100000,1000,5.0,1,rlp,,,,,,,,,,,,,,5.0,swap,swap,best
J30_110.RCP,0,114.08209399167164,5.014456033706665,ga,100000,1000,5.0,0,rlp,50.0,1000.0,0.8,0.1,3.0,ox1,swap,2.0,,,,,,,,,
J30_110.RCP,1,114.08209399167164,5.051336765289307,ga,100000,1000,5.0,1,rlp,50.0,1000.0,0.8,0.1,3.0,ox1,swap,2.0,,,,,,,,,
J30_110.RCP,0,119.75770686857763,5.000178098678589,sa,100000,1000,5.0,0,rlp,,,,,,,,,10000.0,0.995,1.0,100.0,swap,,,,
J30_110.RCP,1,123.88697204045211,5.000164270401001,sa,100000,1000,5.0,1,rlp,,,,,,,,,10000.0,0.995,1.0,100.0,swap,,,,
J30_110.RCP,0,114.08209399167164,5.000400066375732,ils,100000,1000,5.0,0,rlp,,,,,,,,,,,,,,5.0,swap,swap,best
J30_110.RCP,1,114.08209399167164,5.00036883354187,ils,100000,1000,5.0,1,rlp,,,,,,,,,,,,,,5.0,swap,swap,best
J30_111.RCP,0,257.20688094160255,5.020869970321655,ga,100000,1000,5.0,0,rlp,50.0,1000.0,0.8,0.1,3.0,ox1,swap,2.0,,,,,,,,,
J30_111.RCP,1,257.20688094160255,5.040220022201538,ga,100000,1000,5.0,1,rlp,50.0,1000.0,0.8,0.1,3.0,ox1,swap,2.0,,,,,,,,,
J30_111.RCP,0,257.20688094160255,5.000230073928833,sa,100000,1000,5.0,0,rlp,,,,,,,,,10000.0,0.995,1.0,100.0,swap,,,,
J30_111.RCP,1,257.20688094160255,5.0002219676971436,sa,100000,1000,5.0,1,rlp,,,,,,,,,10000.0,0.995,1.0,100.0,swap,,,,
J30_111.RCP,0,257.20688094160255,5.007386922836304,ils,100000,1000,5.0,0,rlp,,,,,,,,,,,,,,5.0,swap,swap,best
J30_111.RCP,1,257.20688094160255,5.001745939254761,ils,100000,1000,5.0,1,rlp,,,,,,,,,,,,,,5.0,swap,swap,best
J30_112.RCP,0,184.44565217391303,5.046470880508423,ga,100000,1000,5.0,0,rlp,50.0,1000.0,0.8,0.1,3.0,ox1,swap,2.0,,,,,,,,,
J30_112.RCP,1,184.44565217391303,5.0062620639801025,ga,100000,1000,5.0,1,rlp,50.0,1000.0,0.8,0.1,3.0,ox1,swap,2.0,,,,,,,,,
J30_112.RCP,0,184.44565217391303,5.000057935714722,sa,100000,1000,5.0,0,rlp,,,,,,,,,10000.0,0.995,1.0,100.0,swap,,,,
J30_112.RCP,1,184.44565217391303,5.000888109207153,sa,100000,1000,5.0,1,rlp,,,,,,,,,10000.0,0.995,1.0,100.0,swap,,,,
J30_112.RCP,0,184.44565217391303,5.000823020935059,ils,100000,1000,5.0,0,rlp,,,,,,,,,,,,,,5.0,swap,swap,best
J30_112.RCP,1,184.44565217391303,5.000643968582153,ils,100000,1000,5.0,1,rlp,,,,,,,,,,,,,,5.0,swap,swap,best
J30_113.RCP,0,342.21329437545654,5.03783106803894,ga,100000,1000,5.0,0,rlp,50.0,1000.0,0.8,0.1,3.0,ox1,swap,2.0,,,,,,,,,
J30_113.RCP,1,342.21329437545654,5.02521014213562,ga,100000,1000,5.0,1,rlp,50.0,1000.0,0.8,0.1,3.0,ox1,swap,2.0,,,,,,,,,
J30_113.RCP,0,342.21329437545654,5.0002501010894775,sa,100000,1000,5.0,0,rlp,,,,,,,,,10000.0,0.995,1.0,100.0,swap,,,,
J30_113.RCP,1,342.21329437545654,5.000912189483643,sa,100000,1000,5.0,1,rlp,,,,,,,,,10000.0,0.995,1.0,100.0,swap,,,,
J30_113.RCP,0,342.21329437545654,5.001875877380371,ils,100000,1000,5.0,0,rlp,,,,,,,,,,,,,,5.0,swap,swap,best
J30_113.RCP,1,342.21329437545654,5.001733064651489,ils,100000,1000,5.0,1,rlp,,,,,,,,,,,,,,5.0,swap,swap,best
