instance_id,seed,best_objective,runtime,algorithm_name,deadline,param_max_evaluations,param_seed,param_population_size,param_crossover_rate,param_mutation_rate,param_time_limit,param_selection_strategy,param_crossover_strategy,param_mutation_strategy,param_initialization_strategy,param_tournament_size,param_use_repair,param_elitism,param_alpha,param_feasible_lower_rate,param_feasible_upper_rate,param_local_search_strategy,param_local_search_interval,param_neighborhood_size,param_use_sa_acceptance,param_sa_initial_temp,param_sa_cooling_rate,param_max_iterations,param_F,param_CR,param_use_adaptive_F,param_use_adaptive_CR,param_use_local_search,param_local_search_top,param_F_min,param_F_max,param_CR_min,param_CR_max,param_K0,param_elite_size,param_path_strategy,param_local_search_eval_limit,param_tabu_tenure,param_aspiration_criterion,param_tabu_strategy,param_min_factor,param_max_factor,param_noimprove_threshold
J30_7.RCP,0,54.725277777777784,0.2927548885345459,DE_rand/1_bin,60,1000,0,50.0,,,3600.0,,bin,rand/1,random,,,,,,,,,,,,,100.0,0.1,0.9,True,False,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,
J30_7.RCP,1,53.22527777777779,0.3019602298736572,DE_rand/1_bin,60,1000,1,50.0,,,3600.0,,bin,rand/1,random,,,,,,,,,,,,,100.0,0.1,0.9,True,False,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,
J30_7.RCP,0,62.32527777777778,0.34247708320617676,PR_forward_best,60,1000,0,,,,3600.0,best,,,,,,,,,,,,,,,,100.0,,,,,True,,,,,,,10.0,forward,50.0,,,,,,
J30_7.RCP,1,72.95861111111113,0.3254568576812744,PR_forward_best,60,1000,1,,,,3600.0,best,,,,,,,,,,,,,,,,100.0,,,,,True,,,,,,,10.0,forward,50.0,,,,,,
J30_7.RCP,0,51.79194444444445,0.25397706031799316,TS_static,60,1000,0,,,,3600.0,,,,,,,,,,,,,20.0,,,,100.0,,,,,,,,,,,,,,,10.0,True,static,1.0,4.0,10.0
J30_7.RCP,1,51.79194444444444,0.2580130100250244,TS_static,60,1000,1,,,,3600.0,,,,,,,,,,,,,20.0,,,,100.0,,,,,,,,,,,,,,,10.0,True,static,1.0,4.0,10.0
J30_8.RCP,0,77.20256318974724,0.39682698249816895,GA_roulette_single_point_random_none,53,1000,0,50.0,0.9,0.1,3600.0,roulette,single_point,random,random,3.0,True,True,0.5,0.1,0.35,none,5.0,2.0,False,10.0,0.95,,,,,,,,,,,,,,,,,,,,,
J30_8.RCP,1,71.7686009255963,0.38810086250305176,GA_roulette_single_point_random_none,53,1000,1,50.0,0.9,0.1,3600.0,roulette,single_point,random,random,3.0,True,True,0.5,0.1,0.35,none,5.0,2.0,False,10.0,0.95,,,,,,,,,,,,,,,,,,,,,
J30_8.RCP,0,64.18369526521894,0.2930459976196289,DE_rand/1_bin,53,1000,0,50.0,,,3600.0,,bin,rand/1,random,,,,,,,,,,,,,100.0,0.1,0.9,True,False,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,
J30_8.RCP,1,68.52331790672838,0.28741908073425293,DE_rand/1_bin,53,1000,1,50.0,,,3600.0,,bin,rand/1,random,,,,,,,,,,,,,100.0,0.1,0.9,True,False,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,
J30_8.RCP,0,98.33463866144535,0.27443599700927734,PR_forward_best,53,1000,0,,,,3600.0,best,,,,,,,,,,,,,,,,100.0,,,,,True,,,,,,,10.0,forward,50.0,,,,,,
J30_8.RCP,1,89.12709149163403,0.27008509635925293,PR_forward_best,53,1000,1,,,,3600.0,best,,,,,,,,,,,,,,,,100.0,,,,,True,,,,,,,10.0,forward,50.0,,,,,,
J30_8.RCP,0,57.05161979352083,0.24168014526367188,TS_static,53,1000,0,,,,3600.0,,,,,,,,,,,,,20.0,,,,100.0,,,,,,,,,,,,,,,10.0,True,static,1.0,4.0,10.0
J30_8.RCP,1,66.03275186899252,0.26462674140930176,TS_static,53,1000,1,,,,3600.0,,,,,,,,,,,,,20.0,,,,100.0,,,,,,,,,,,,,,,10.0,True,static,1.0,4.0,10.0
J30_9.RCP,0,108.3452380952381,0.4425060749053955,GA_roulette_single_point_random_none,42,1000,0,50.0,0.9,0.1,3600.0,roulette,single_point,random,random,3.0,True,True,0.5,0.1,0.35,none,5.0,2.0,False,10.0,0.95,,,,,,,,,,,,,,,,,,,,,
J30_9.RCP,1,101.25,0.4194779396057129,GA_roulette_single_point_random_none,42,1000,1,50.0,0.9,0.1,3600.0,roulette,single_point,random,random,3.0,True,True,0.5,0.1,0.35,none,5.0,2.0,False,10.0,0.95,,,,,,,,,,,,,,,,,,,,,
J30_9.RCP,0,89.77380952380952,0.31726908683776855,DE_rand/1_bin,42,1000,0,50.0,,,3600.0,,bin,rand/1,random,,,,,,,,,,,,,100.0,0.1,0.9,True,False,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,
J30_9.RCP,1,95.67857142857143,0.3059351444244385,DE_rand/1_bin,42,1000,1,50.0,,,3600.0,,bin,rand/1,random,,,,,,,,,,,,,100.0,0.1,0.9,True,False,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,
J30_9.RCP,0,163.67857142857144,0.31048083305358887,PR_forward_best,42,1000,0,,,,3600.0,best,,,,,,,,,,,,,,,,100.0,,,,,True,,,,,,,10.0,forward,50.0,,,,,,
J30_9.RCP,1,147.67857142857142,0.31155824661254883,PR_forward_best,42,1000,1,,,,3600.0,best,,,,,,,,,,,,,,,,100.0,,,,,True,,,,,,,10.0,forward,50.0,,,,,,
J30_9.RCP,0,85.96428571428571,0.2429358959197998,TS_static,42,1000,0,,,,3600.0,,,,,,,,,,,,,20.0,,,,100.0,,,,,,,,,,,,,,,10.0,True,static,1.0,4.0,10.0
J30_9.RCP,1,81.1547619047619,0.2531139850616455,TS_static,42,1000,1,,,,3600.0,,,,,,,,,,,,,20.0,,,,100.0,,,,,,,,,,,,,,,10.0,True,static,1.0,4.0,10.0
J30_10.RCP,0,82.16508400292183,0.4140591621398926,GA_roulette_single_point_random_none,37,1000,0,50.0,0.9,0.1,3600.0,roulette,single_point,random,random,3.0,True,True,0.5,0.1,0.35,none,5.0,2.0,False,10.0,0.95,,,,,,,,,,,,,,,,,,,,,
J30_10.RCP,1,80.75967859751643,0.4064779281616211,GA_roulette_single_point_random_none,37,1000,1,50.0,0.9,0.1,3600.0,roulette,single_point,random,random,3.0,True,True,0.5,0.1,0.35,none,5.0,2.0,False,10.0,0.95,,,,,,,,,,,,,,,,,,,,,
J30_10.RCP,0,73.24616508400293,0.30455589294433594,DE_rand/1_bin,37,1000,0,50.0,,,3600.0,,bin,rand/1,random,,,,,,,,,,,,,100.0,0.1,0.9,True,False,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,
J30_10.RCP,1,72.86778670562455,0.3136780261993408,DE_rand/1_bin,37,1000,1,50.0,,,3600.0,,bin,rand/1,random,,,,,,,,,,,,,100.0,0.1,0.9,True,False,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,
J30_10.RCP,0,83.13805697589483,0.2924940586090088,PR_forward_best,37,1000,0,,,,3600.0,best,,,,,,,,,,,,,,,,100.0,,,,,True,,,,,,,10.0,forward,50.0,,,,,,
J30_10.RCP,1,85.24616508400293,0.28139209747314453,PR_forward_best,37,1000,1,,,,3600.0,best,,,,,,,,,,,,,,,,100.0,,,,,True,,,,,,,10.0,forward,50.0,,,,,,
J30_10.RCP,0,68.38130021913807,0.2469630241394043,TS_static,37,1000,0,,,,3600.0,,,,,,,,,,,,,20.0,,,,100.0,,,,,,,,,,,,,,,10.0,True,static,1.0,4.0,10.0
J30_10.RCP,1,71.73265157048941,0.2474508285522461,TS_static,37,1000,1,,,,3600.0,,,,,,,,,,,,,20.0,,,,100.0,,,,,,,,,,,,,,,10.0,True,static,1.0,4.0,10.0
