instance_id,seed,best_objective,runtime,algorithm_name,deadline,param_max_evaluations,param_seed,param_population_size,param_time_limit,param_max_iterations,param_F,param_CR,param_use_adaptive_F,param_use_adaptive_CR,param_mutation_strategy,param_crossover_strategy,param_initialization_strategy,param_use_local_search,param_local_search_top,param_F_min,param_F_max,param_CR_min,param_CR_max,param_K0,param_tabu_tenure,param_neighborhood_size,param_aspiration_criterion,param_tabu_strategy,param_min_factor,param_max_factor,param_noimprove_threshold,param_elite_size,param_path_strategy,param_selection_strategy,param_local_search_eval_limit,rpd
J30_6.RCP,1,64.79085872576178,0.29753804206848145,PR_forward_best_withLS,38,1000,1,,60.0,100,,,,,,,,True,,,,,,,,,,,,,,10.0,forward,best,50.0,8.17204301075272
J30_7.RCP,0,55.858611111111124,0.2872803211212158,DE_current-to-rand/2_bin_fixedCR_withLS,60,1000,0,50.0,60.0,100,0.1,0.9,False,False,current-to-rand/2,bin,random,True,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,7.851928925025913
J30_7.RCP,1,55.09194444444445,0.2933797836303711,DE_current-to-rand/2_bin_fixedCR_withLS,60,1000,1,50.0,60.0,100,0.1,0.9,False,False,current-to-rand/2,bin,random,True,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,6.371647242439055
J30_7.RCP,0,51.79194444444445,0.24131202697753906,TS_dynamic,60,1000,0,,60.0,100,,,,,,,,,,,,,,,10.0,20.0,True,dynamic,1.0,4.0,10.0,,,,,1.3719174736184632e-14
J30_7.RCP,1,51.79194444444444,0.2508888244628906,TS_dynamic,60,1000,1,,60.0,100,,,,,,,,,,,,,,,10.0,20.0,True,dynamic,1.0,4.0,10.0,,,,,0.0
J30_7.RCP,0,62.32527777777778,0.29291510581970215,PR_forward_best_withLS,60,1000,0,,60.0,100,,,,,,,,True,,,,,,,,,,,,,,10.0,forward,best,50.0,20.337783117280157
J30_7.RCP,1,72.95861111111113,0.3570280075073242,PR_forward_best_withLS,60,1000,1,,60.0,100,,,,,,,,True,,,,,,,,,,,,,,10.0,forward,best,50.0,40.86864645402818
J30_8.RCP,0,67.57992168031328,0.29870009422302246,DE_current-to-rand/2_bin_fixedCR_withLS,53,1000,0,50.0,60.0,100,0.1,0.9,False,False,current-to-rand/2,bin,random,True,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,18.453992936390062
J30_8.RCP,1,69.61765752936988,0.27884697914123535,DE_current-to-rand/2_bin_fixedCR_withLS,53,1000,1,50.0,60.0,100,0.1,0.9,False,False,current-to-rand/2,bin,random,True,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,22.025733504723622
J30_8.RCP,0,57.05161979352083,0.24622702598571777,TS_dynamic,53,1000,0,,60.0,100,,,,,,,,,,,,,,,10.0,20.0,True,dynamic,1.0,4.0,10.0,,,,,0.0
J30_8.RCP,1,66.03275186899252,0.2453460693359375,TS_dynamic,53,1000,1,,60.0,100,,,,,,,,,,,,,,,10.0,20.0,True,dynamic,1.0,4.0,10.0,,,,,15.742115838210873
J30_8.RCP,0,98.33463866144535,0.2665579319000244,PR_forward_best_withLS,53,1000,0,,60.0,100,,,,,,,,True,,,,,,,,,,,,,,10.0,forward,best,50.0,72.36081818068364
J30_8.RCP,1,89.12709149163403,0.2792797088623047,PR_forward_best_withLS,53,1000,1,,60.0,100,,,,,,,,True,,,,,,,,,,,,,,10.0,forward,best,50.0,56.221842279324584
J30_9.RCP,0,91.77380952380952,0.29944396018981934,DE_current-to-rand/2_bin_fixedCR_withLS,42,1000,0,50.0,60.0,100,0.1,0.9,False,False,current-to-rand/2,bin,random,True,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,13.084934722018485
J30_9.RCP,1,92.63095238095238,0.3063852787017822,DE_current-to-rand/2_bin_fixedCR_withLS,42,1000,1,50.0,60.0,100,0.1,0.9,False,False,current-to-rand/2,bin,random,True,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,14.141117793750924
J30_9.RCP,0,85.96428571428571,0.24851322174072266,TS_dynamic,42,1000,0,,60.0,100,,,,,,,,,,,,,,,10.0,20.0,True,dynamic,1.0,4.0,10.0,,,,,5.926360569165324
J30_9.RCP,1,81.1547619047619,0.2884368896484375,TS_dynamic,42,1000,1,,60.0,100,,,,,,,,,,,,,,,10.0,20.0,True,dynamic,1.0,4.0,10.0,,,,,0.0
J30_9.RCP,0,163.67857142857144,0.3103139400482178,PR_forward_best_withLS,42,1000,0,,60.0,100,,,,,,,,True,,,,,,,,,,,,,,10.0,forward,best,50.0,101.686959072906
J30_9.RCP,1,147.67857142857142,0.3103156089782715,PR_forward_best_withLS,42,1000,1,,60.0,100,,,,,,,,True,,,,,,,,,,,,,,10.0,forward,best,50.0,81.97154173390054
J30_10.RCP,0,77.40832724616509,0.29537487030029297,DE_current-to-rand/2_bin_fixedCR_withLS,37,1000,0,50.0,60.0,100,0.1,0.9,False,False,current-to-rand/2,bin,random,True,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,15.019428224108347
J30_10.RCP,1,78.16508400292184,0.2968146800994873,DE_current-to-rand/2_bin_fixedCR_withLS,37,1000,1,50.0,60.0,100,0.1,0.9,False,False,current-to-rand/2,bin,random,True,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,16.143877395966726
J30_10.RCP,0,67.30021913805699,0.24496102333068848,TS_dynamic,37,1000,0,,60.0,100,,,,,,,,,,,,,,,10.0,20.0,True,dynamic,1.0,4.0,10.0,,,,,0.0
J30_10.RCP,1,71.02994886778671,0.24059081077575684,TS_dynamic,37,1000,1,,60.0,100,,,,,,,,,,,,,,,10.0,20.0,True,dynamic,1.0,4.0,10.0,,,,,5.54192806130201
J30_10.RCP,0,83.13805697589483,0.30187201499938965,PR_forward_best_withLS,37,1000,0,,60.0,100,,,,,,,,True,,,,,,,,,,,,,,10.0,forward,best,50.0,23.533114811036096
J30_10.RCP,1,85.24616508400293,0.2839088439941406,PR_forward_best_withLS,37,1000,1,,60.0,100,,,,,,,,True,,,,,,,,,,,,,,10.0,forward,best,50.0,26.66550893264157
