instance_id,seed,best_objective,runtime,algorithm_name,deadline,param_max_evaluations,param_seed,param_population_size,param_crossover_rate,param_mutation_rate,param_time_limit,param_selection_strategy,param_crossover_strategy,param_mutation_strategy,param_initialization_strategy,param_tournament_size,param_use_repair,param_elitism,param_alpha,param_feasible_lower_rate,param_feasible_upper_rate,param_local_search_strategy,param_local_search_interval,param_neighborhood_size,param_use_sa_acceptance,param_sa_initial_temp,param_sa_cooling_rate,param_max_iterations,param_elite_size,param_path_strategy,param_use_local_search,param_local_search_eval_limit,param_hm_size,param_hmcr,param_par,param_bw,param_par_min,param_par_max,param_bw_min,param_bw_max,param_parameter_strategy
J30_7.RCP,0,53.92527777777778,0.40680980682373047,GA_roulette_single_point_random_random_none_noNeighborhood_noSA,60,1000,0,50.0,0.9,0.1,60.0,roulette,single_point,random,random,3.0,True,False,0.5,0.1,0.35,none,5.0,0.0,False,10.0,0.95,,,,,,,,,,,,,,
J30_7.RCP,1,55.72527777777779,0.4131338596343994,GA_roulette_single_point_random_random_none_noNeighborhood_noSA,60,1000,1,50.0,0.9,0.1,60.0,roulette,single_point,random,random,3.0,True,False,0.5,0.1,0.35,none,5.0,0.0,False,10.0,0.95,,,,,,,,,,,,,,
J30_7.RCP,0,58.19194444444445,0.09014081954956055,PR_forward_best_noLS,60,1000,0,,,,60.0,best,,,,,,,,,,,,,,,,100.0,10.0,forward,False,50.0,,,,,,,,,
J30_7.RCP,1,66.72527777777778,0.09596610069274902,PR_forward_best_noLS,60,1000,1,,,,60.0,best,,,,,,,,,,,,,,,,100.0,10.0,forward,False,50.0,,,,,,,,,
J30_7.RCP,0,51.82527777777779,0.4102659225463867,HS_fixed_random,60,1000,0,,,,60.0,,,,random,,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed
J30_7.RCP,1,52.258611111111115,0.41327476501464844,HS_fixed_random,60,1000,1,,,,60.0,,,,random,,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed
J30_8.RCP,0,77.20256318974724,0.38977694511413574,GA_roulette_single_point_random_random_none_noNeighborhood_noSA,53,1000,0,50.0,0.9,0.1,60.0,roulette,single_point,random,random,3.0,True,False,0.5,0.1,0.35,none,5.0,0.0,False,10.0,0.95,,,,,,,,,,,,,,
J30_8.RCP,1,71.7686009255963,0.3916170597076416,GA_roulette_single_point_random_random_none_noNeighborhood_noSA,53,1000,1,50.0,0.9,0.1,60.0,roulette,single_point,random,random,3.0,True,False,0.5,0.1,0.35,none,5.0,0.0,False,10.0,0.95,,,,,,,,,,,,,,
J30_8.RCP,0,90.14595941616234,0.10584402084350586,PR_forward_best_noLS,53,1000,0,,,,60.0,best,,,,,,,,,,,,,,,,100.0,10.0,forward,False,50.0,,,,,,,,,
J30_8.RCP,1,71.7686009255963,0.09819602966308594,PR_forward_best_noLS,53,1000,1,,,,60.0,best,,,,,,,,,,,,,,,,100.0,10.0,forward,False,50.0,,,,,,,,,
J30_8.RCP,0,63.46671413314347,0.4182279109954834,HS_fixed_random,53,1000,0,,,,60.0,,,,random,,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed
J30_8.RCP,1,67.7308650765397,0.417788028717041,HS_fixed_random,53,1000,1,,,,60.0,,,,random,,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed
J30_9.RCP,0,108.3452380952381,0.4224579334259033,GA_roulette_single_point_random_random_none_noNeighborhood_noSA,42,1000,0,50.0,0.9,0.1,60.0,roulette,single_point,random,random,3.0,True,False,0.5,0.1,0.35,none,5.0,0.0,False,10.0,0.95,,,,,,,,,,,,,,
J30_9.RCP,1,101.25,0.4280049800872803,GA_roulette_single_point_random_random_none_noNeighborhood_noSA,42,1000,1,50.0,0.9,0.1,60.0,roulette,single_point,random,random,3.0,True,False,0.5,0.1,0.35,none,5.0,0.0,False,10.0,0.95,,,,,,,,,,,,,,
J30_9.RCP,0,109.48809523809524,0.143402099609375,PR_forward_best_noLS,42,1000,0,,,,60.0,best,,,,,,,,,,,,,,,,100.0,10.0,forward,False,50.0,,,,,,,,,
J30_9.RCP,1,138.96428571428572,0.10434174537658691,PR_forward_best_noLS,42,1000,1,,,,60.0,best,,,,,,,,,,,,,,,,100.0,10.0,forward,False,50.0,,,,,,,,,
J30_9.RCP,0,84.25,0.4165487289428711,HS_fixed_random,42,1000,0,,,,60.0,,,,random,,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed
J30_9.RCP,1,84.53571428571429,0.41144394874572754,HS_fixed_random,42,1000,1,,,,60.0,,,,random,,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed
J30_10.RCP,0,82.16508400292183,0.41758012771606445,GA_roulette_single_point_random_random_none_noNeighborhood_noSA,37,1000,0,50.0,0.9,0.1,60.0,roulette,single_point,random,random,3.0,True,False,0.5,0.1,0.35,none,5.0,0.0,False,10.0,0.95,,,,,,,,,,,,,,
J30_10.RCP,1,80.75967859751643,0.4120779037475586,GA_roulette_single_point_random_random_none_noNeighborhood_noSA,37,1000,1,50.0,0.9,0.1,60.0,roulette,single_point,random,random,3.0,True,False,0.5,0.1,0.35,none,5.0,0.0,False,10.0,0.95,,,,,,,,,,,,,,
J30_10.RCP,0,78.81373265157049,0.0810542106628418,PR_forward_best_noLS,37,1000,0,,,,60.0,best,,,,,,,,,,,,,,,,100.0,10.0,forward,False,50.0,,,,,,,,,
J30_10.RCP,1,80.97589481373265,0.08736109733581543,PR_forward_best_noLS,37,1000,1,,,,60.0,best,,,,,,,,,,,,,,,,100.0,10.0,forward,False,50.0,,,,,,,,,
J30_10.RCP,0,72.54346238130023,0.42164087295532227,HS_fixed_random,37,1000,0,,,,60.0,,,,random,,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed
J30_10.RCP,1,74.32724616508399,0.405897855758667,HS_fixed_random,37,1000,1,,,,60.0,,,,random,,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed
